assumptionId,questionId,subquestionId,assumption,question,container,container_depth1,container_depth2,container_depth3
72,30,A(72):Q(30):4,Client's in-session data can be capture and processed and provided to the therapist,And what indicators would be the most useful for you?,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
73,,,There is a way to capture the client's in-session data,,3 Data and trends / 3.1 Data capture / 3.1.1 In-session data,3 Data and trends,3.1 Data capture,3.1.1 In-session data
74,,,Therapist can use client's data from beyond the session,,3 Data and trends / 3.1 Data capture / 3.1.3 Out-session data,3 Data and trends,3.1 Data capture,3.1.3 Out-session data
75,,,There's client's data that is already being generated by other apps,,3 Data and trends / 3.1 Data capture / 3.1.3 Out-session data,3 Data and trends,3.1 Data capture,3.1.3 Out-session data
77,,,Therapist can generate new datapoints by asking client to answer prompts,,3 Data and trends / 3.1 Data capture / 3.1.3 Out-session data,3 Data and trends,3.1 Data capture,3.1.3 Out-session data
78,,,Therapist needs to know how they would use the new data,,3 Data and trends / 3.1 Data capture / 3.1.3 Out-session data,3 Data and trends,3.1 Data capture,3.1.3 Out-session data
76,,,Effectiveness of therapist's intervention can be tracked beyond the session,,3 Data and trends / 3.1 Data capture / 3.1.3 Out-session data,3 Data and trends,3.1 Data capture,3.1.3 Out-session data
80,,,The client consent's to the capture and use of their in-session data,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
82,,,Client believes that their data can be used to help them with their mental issues,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
83,,,Client considers their mental health more important than the risk of privacy breach,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
85,,,"Client believes there's a low chance of privacy breach, or believes it not to affect them too much",,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
84,,,Client believes their mental health is in dire or serious state,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
79,,,The client consent's to the capture and use of their out-session data,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
81,,,Client's data is protected by personal data regulations like GDPR,,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
81,31,A(81):Q(31):1,Client's data is protected by personal data regulations like GDPR,What tools do therapists use to comply with GDPR and similar regulations?,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
81,31,A(81):Q(31):2,Client's data is protected by personal data regulations like GDPR,What kind of data is held by the therapists?,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
81,31,A(81):Q(31):3,Client's data is protected by personal data regulations like GDPR,How did they learn about how to comply? Eg Course?,3 Data and trends / 3.1 Data capture / 3.1.2 Privacy and GDPR,3 Data and trends,3.1 Data capture,3.1.2 Privacy and GDPR
91,,,Therapists use clients' data points to see trends over time in change of behaviour,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
91,37,A(91):Q(37):1,Therapists use clients' data points to see trends over time in change of behaviour,"Imagine you can see how client's behaviour changes over time (eg incidence of anxiety attacks, or sleep patterns over time, or what topics they talk about over time). What could you use these trends for?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
91,37,A(91):Q(37):2,Therapists use clients' data points to see trends over time in change of behaviour,"If you were to pick only 3 of such behaviours, which ones would you go with?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
92,,,Therapists' intervention leads to clients' change in behaviour,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
92,38,A(92):Q(38):1,Therapists' intervention leads to clients' change in behaviour,Examples of how a therapist's intervention lead to client's change in behaviour?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
92,38,A(92):Q(38):2,Therapists' intervention leads to clients' change in behaviour,Examples of a therapists' intervention could lead to WORSENED change in behaviour?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
92,38,A(92):Q(38):3,Therapists' intervention leads to clients' change in behaviour,Under what conditions could it happen that therapists' intervention would NOT lead to change in behaviour?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
93,,,Therapists know which clients to focus on and which topics to focus on based on the trends in behaviour,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
93,39,A(93):Q(39):1,Therapists know which clients to focus on and which topics to focus on based on the trends in behaviour,"Imagine you can see how client's behaviour changes over time (eg incidence of anxiety attacks, or sleep patterns over time, or what topics they talk about over time). How would you use this info to transfer your learnings from one client to another?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
94,,,Therapists provide better intervention when they spend their client time strategically,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
94,40,A(94):Q(40):1,Therapists provide better intervention when they spend their client time strategically,How do you decide which topics to talk about with the client?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
94,40,A(94):Q(40):2,Therapists provide better intervention when they spend their client time strategically,How do you know that talking about or exploring a topic can lead to better outcome for the client?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
94,40,A(94):Q(40):3,Therapists provide better intervention when they spend their client time strategically,"Could it be that the client's mental wellbeing could improve irrespective of the topics you decide to talk about with them? Why? (eg it could be the process of having a deep focus conversation, not necessarily a specific topic)",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
95,,,Therapists want to spend their time as best as they can to help their clients,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
95,41,A(95):Q(41):1,Therapists want to spend their time as best as they can to help their clients,Are there methods / interventions which you believe are more effective than others? Do you prefer to use these?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
95,41,A(95):Q(41):2,Therapists want to spend their time as best as they can to help their clients,Are there cases when it's not possible to use the more effective methods? Why?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
96,,,Therapists have only a limited time they can allocate to their clients,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
96,42,A(96):Q(42):1,Therapists have only a limited time they can allocate to their clients,"If you had to choose between two clients, what aspects would make you more likely to go with one or another?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
96,42,A(96):Q(42):2,Therapists have only a limited time they can allocate to their clients,What would be aspects that would make you NOT want to take one or another?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
96,42,A(96):Q(42):3,Therapists have only a limited time they can allocate to their clients,"Was there a case when you accepted one client, but then wished you had taken another?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,,,Therapists send their clients to other therapists when they believe they don't have the bandwidth,,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):1,Therapists send their clients to other therapists when they believe they don't have the bandwidth,At what point do you come to conclusion that you don't have enough time to take up on another client?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):2,Therapists send their clients to other therapists when they believe they don't have the bandwidth,Do different clients require different amount of preparation (time) or your mental capacity?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):3,Therapists send their clients to other therapists when they believe they don't have the bandwidth,"If different clients require different effort from you, what do you think this is based on?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):4,Therapists send their clients to other therapists when they believe they don't have the bandwidth,"If different clients require different effort from you, what would the ideal case for you? And how is it in reality?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):5,Therapists send their clients to other therapists when they believe they don't have the bandwidth,How do you choose who you send the client to? Eg is it colleagues you know? Does their specialisation play a role?,3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):6,Therapists send their clients to other therapists when they believe they don't have the bandwidth,"Can you think of a scenario when you didn't have the bandwidth, but you couldn't think of another therapist to send the client to?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
97,43,A(97):Q(43):7,Therapists send their clients to other therapists when they believe they don't have the bandwidth,"Can you imagine a scenario when you'd forward a client to another therapist, but then you would regret doing so?",3 Data and trends / 3.2 Trends from data,3 Data and trends,3.2 Trends from data,
61,,,Therapists with years of exp may be reluctant to change (it worked this way so why should it change?),,3 Data and trends,3 Data and trends,,
47,,,Therapists can learn from others' experience,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
48,,,Therapists know about other therapists,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
49,,,Therapists know where to find other therapists,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
49,18,A(49):Q(18):1,Therapists know where to find other therapists,What places do they go to? Physical or online.,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
49,18,A(49):Q(18):2,Therapists know where to find other therapists,What organisations do they join? Prof. or interest,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
49,18,A(49):Q(18):3,Therapists know where to find other therapists,What education do they go to?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
45,,,Other therapists are reliable source of knowledge,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
45,16,A(45):Q(16):1,Other therapists are reliable source of knowledge,What else can they learn from each other?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
45,16,A(45):Q(16):2,Other therapists are reliable source of knowledge,Who are the key opinion leaders?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
45,16,A(45):Q(16):3,Other therapists are reliable source of knowledge,What's valuable about other's experience?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
46,,,Therapists work with / at / for other therapists when starting or learning,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
46,17,A(46):Q(17):1,Therapists work with / at / for other therapists when starting or learning,What's the most valuable thing for therapist to learn?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
36,,,Therapists learn from others on how to do the profession,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
42,,,Therapists go to other therapists when they need help with their clients (troubleshoot),,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
42,13,A(42):Q(13):1,Therapists go to other therapists when they need help with their clients (troubleshoot),Imagine that you'd go to a peer therapist to consult them on one of your clients? Why?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
42,13,A(42):Q(13):2,Therapists go to other therapists when they need help with their clients (troubleshoot),What are issues that your peers could help you with?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
42,13,A(42):Q(13):3,Therapists go to other therapists when they need help with their clients (troubleshoot),What are issues that they could not help with?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
38,,,Therapists visit conferences to learn and connect,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
38,10,A(38):Q(10):1,Therapists visit conferences to learn and connect,What conferences do they go to?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
38,10,A(38):Q(10):2,Therapists visit conferences to learn and connect,What's the biggest value from these conferences? (Can ask this to event org too),2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
38,10,A(38):Q(10):3,Therapists visit conferences to learn and connect,What do you wish they did at the conferences? (Can ask this to event org too),2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,,,Things can go wrong at the therapy,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,14,A(43):Q(14):1,Things can go wrong at the therapy,What are the ways in which things can go wrong at a therapy?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,14,A(43):Q(14):2,Things can go wrong at the therapy,Which cases are more severe? And can you recover from them?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,14,A(43):Q(14):3,Things can go wrong at the therapy,Who are the people who would be affected if things go wrong?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,14,A(43):Q(14):4,Things can go wrong at the therapy,Who do you go to if things go wrong?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
43,14,A(43):Q(14):5,Things can go wrong at the therapy,What do you do to prevent the things from going wrong?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
39,,,Therapists learn from others on work opportunities,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
39,11,A(39):Q(11):1,Therapists learn from others on work opportunities,Where do you find work?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
39,11,A(39):Q(11):2,Therapists learn from others on work opportunities,What would be ideal working conditions for them?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
39,11,A(39):Q(11):3,Therapists learn from others on work opportunities,How does that compare to your current ones?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
39,11,A(39):Q(11):4,Therapists learn from others on work opportunities,"Is there something ""holding"" you -- self-imposed or external -- in your current workplace?",2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,,,Therapists do background check or review on some clients ,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):1,Therapists do background check or review on some clients ,"If you could learn about your client before you start working with them, would you go through that info?",2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):2,Therapists do background check or review on some clients ,Can you imagine you'd do a background check on a client?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):3,Therapists do background check or review on some clients ,"If you would do, what would you look for?",2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):4,Therapists do background check or review on some clients ,What are some red flags on clients?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):5,Therapists do background check or review on some clients ,What are some green flags on clients?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):6,Therapists do background check or review on some clients ,Where would you go to do the bg check?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
40,12,A(40):Q(12):7,Therapists do background check or review on some clients ,"If you could choose, would you prefer a ""better"" client?",2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
41,,,There is a way to learn about your client before the session,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,,,Therapists go to other therapists to feel as part of community,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):1,Therapists go to other therapists to feel as part of community,Do you have friends (not just professional contacts) that are therapists too? How did you meet?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):2,Therapists go to other therapists to feel as part of community,Do you sometimes seek the community of other therapist professionals? When is so?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):3,Therapists go to other therapists to feel as part of community,Do you think such communities can be a good way to find work friends?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):4,Therapists go to other therapists to feel as part of community,What's the most unexpected positive thing that happened to you thanks to that community?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):5,Therapists go to other therapists to feel as part of community,What are negative things about being in such a community?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
37,9,A(37):Q(9):6,Therapists go to other therapists to feel as part of community,What do you think is the thing that _makes_ the community?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,,,Therapists have a peer group where they can discuss their work,,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):1,Therapists have a peer group where they can discuss their work,Do you have a peer support group for therapists?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):2,Therapists have a peer group where they can discuss their work,What (do you think) is being discussed there?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):3,Therapists have a peer group where they can discuss their work,What do you think an ideal support group would look like for you?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):4,Therapists have a peer group where they can discuss their work,"If you're not in one, what would make you attend one?",2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):5,Therapists have a peer group where they can discuss their work,Under what conditions would you yourself start such group if it was missing in your city or specialisation?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
44,15,A(44):Q(15):6,Therapists have a peer group where they can discuss their work,Can you imagine having such support groups online?,2 Learning and Development / 2.1 Community and peer learning,2 Learning and Development,2.1 Community and peer learning,
50,,,Therapy skills are transferrable,,2 Learning and Development,2 Learning and Development,,
50,19,A(50):Q(19):1,Therapy skills are transferrable,What are the features (tools) of the therapy skills?,2 Learning and Development,2 Learning and Development,,
50,19,A(50):Q(19):2,Therapy skills are transferrable,Which features are more important?,2 Learning and Development,2 Learning and Development,,
50,19,A(50):Q(19):3,Therapy skills are transferrable,What's the aim (end goal) of each of the features?,2 Learning and Development,2 Learning and Development,,
50,19,A(50):Q(19):4,Therapy skills are transferrable,What are the inputs (things they notice) for each of the features?,2 Learning and Development,2 Learning and Development,,
50,19,A(50):Q(19):5,Therapy skills are transferrable,Which features can be digitalised?,2 Learning and Development,2 Learning and Development,,
51,,,Therapists learn from resources on how to do the profession,,2 Learning and Development,2 Learning and Development,,
52,,,Therapists do individual study to keep up with new methods and latest best practices in the industry,,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):1,Therapists do individual study to keep up with new methods and latest best practices in the industry,Where do they go for resources?,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):2,Therapists do individual study to keep up with new methods and latest best practices in the industry,How much time do they spend on it? How do they balance it with billable work?,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):3,Therapists do individual study to keep up with new methods and latest best practices in the industry,What motivates them to study?,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):4,Therapists do individual study to keep up with new methods and latest best practices in the industry,Is there a case when they've changed their practice based on something that they've learnt?,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):5,Therapists do individual study to keep up with new methods and latest best practices in the industry,Do they do it with someone or alone?,2 Learning and Development,2 Learning and Development,,
52,20,A(52):Q(20):6,Therapists do individual study to keep up with new methods and latest best practices in the industry,Is it ad hoc (eg read articles) or structured (course)?,2 Learning and Development,2 Learning and Development,,
53,,,Latest best practices are better than the older ones,,2 Learning and Development,2 Learning and Development,,
26,,,Therapists showcase success cases to attract clients,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
27,,,People who need therapy can be convinced by success cases,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
29,,,Therapists showcase expertise to attract clients,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
30,,,People who need therapy prefer therapists with expertise,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
28,,,People consider success cases as proof that something works,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
31,,,People think that people with expertise know what they are doing,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
25,,,Therapists know how to promote themselves,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
32,,,Success of a therapy intervention depends on both the therapist and the client,,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
32,6,A(32):Q(6):1,Success of a therapy intervention depends on both the therapist and the client,How is success defined?,1 Marketing / 1.4 Messaging,1 Marketing,1.4 Messaging,
